Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p	fdr_bh	p95-test
t_wa_recall_raw_1:2_it2	t_wa_recall_raw_1:2_it1	recall	it2	1:2	raw	[]	it1	1:2	raw	[]	11.0	0.3828125	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_1:2_it3	t_wa_recall_stand_1:2_it2	recall	it3	1:2	stand	[]	it2	1:2	stand	[]	7.0	0.1484375	0.9553328804347826	Sin_diferencia
t_wa_recall_stand_1:2_it3	t_wa_recall_stand_1:2_it1	recall	it3	1:2	stand	[]	it1	1:2	stand	[]	17.5	0.9453125	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_1:2_it2	t_wa_recall_stand_1:2_it1	recall	it2	1:2	stand	[]	it1	1:2	stand	[]	8.0	0.3104944343172349	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:2_it3	t_wa_recall_norm_1:2_it2	recall	it3	1:2	norm	[]	it2	1:2	norm	[]	13.0	0.546875	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:2_it3	t_wa_recall_norm_1:2_it1	recall	it3	1:2	norm	[]	it1	1:2	norm	[]	3.0	0.0390625	0.9553328804347826	Sin_diferencia
t_wa_recall_norm_1:2_it2	t_wa_recall_norm_1:2_it1	recall	it2	1:2	norm	[]	it1	1:2	norm	[]	7.0	0.1484375	0.9553328804347826	Sin_diferencia
t_wa_recall_raw_1:3_it3	t_wa_recall_raw_1:3_it2	recall	it3	1:3	raw	[]	it2	1:3	raw	[]	15.0	0.7421875	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_1:3_it3	t_wa_recall_raw_1:3_it1	recall	it3	1:3	raw	[]	it1	1:3	raw	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_recall_raw_1:3_it2	t_wa_recall_raw_1:3_it1	recall	it2	1:3	raw	[]	it1	1:3	raw	[]	17.0	0.9453125	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_1:3_it3	t_wa_recall_stand_1:3_it2	recall	it3	1:3	stand	[]	it2	1:3	stand	[]	4.0	0.0546875	0.9553328804347826	Sin_diferencia
t_wa_recall_stand_1:3_it3	t_wa_recall_stand_1:3_it1	recall	it3	1:3	stand	[]	it1	1:3	stand	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
t_wa_recall_stand_1:3_it2	t_wa_recall_stand_1:3_it1	recall	it2	1:3	stand	[]	it1	1:3	stand	[]	11.0	0.3828125	0.9939033294392523	Sin_diferencia
t_wa_recall_norm_1:3_it3	t_wa_recall_norm_1:3_it2	recall	it3	1:3	norm	[]	it2	1:3	norm	[]	16.0	0.84375	0.9939033294392523	Sin_diferencia
