Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:2_it3	recall	it1	3:1	raw	[]	it3	1:2	raw	[]	3.0	0.0390625
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:2_it2	recall	it1	3:1	raw	[]	it2	1:2	raw	[]	3.0	0.11585149752593
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:2_it1	recall	it1	3:1	raw	[]	it1	1:2	raw	[]	10.0	0.3125
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:3_it3	recall	it1	3:1	raw	[]	it3	1:3	raw	[]	7.0	0.1484375
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:3_it2	recall	it1	3:1	raw	[]	it2	1:3	raw	[]	7.0	0.1484375
t_wa_recall_raw_3:1_it1	t_wa_recall_raw_1:3_it1	recall	it1	3:1	raw	[]	it1	1:3	raw	[]	5.0	0.078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_3:1_it3	recall	it1	3:1	raw	[]	it3	3:1	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_3:1_it2	recall	it1	3:1	raw	[]	it2	3:1	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_3:1_it1	recall	it1	3:1	raw	[]	it1	3:1	stand	[]	0.0	0.0078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:1_it3	recall	it1	3:1	raw	[]	it3	1:1	stand	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:1_it2	recall	it1	3:1	raw	[]	it2	1:1	stand	[]	1.0	0.0279918154856657
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_1:1_it1	recall	it1	3:1	raw	[]	it1	1:1	stand	[]	5.0	0.078125
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_2:1_it3	recall	it1	3:1	raw	[]	it3	2:1	stand	[]	1.0	0.015625
t_wa_recall_raw_3:1_it1	t_wa_recall_stand_2:1_it2	recall	it1	3:1	raw	[]	it2	2:1	stand	[]	0.0	0.0078125
